id,expected_label,predicted_label,raw_score,final_score,decision_source,security_adjustments,content_signals,elapsed_ms,category,correct
external-v2-0001,legitimate,legitimate,0.00019089598208665848,0.0002,hybrid_model_and_security_rules,[],[],163.44619999972565,other_legitimate,True
external-v2-0002,legitimate,legitimate,0.013677411712706089,0.0137,hybrid_model_and_security_rules,[],[],25.292700000136392,other_legitimate,True
external-v2-0003,legitimate,legitimate,0.002325025387108326,0.0023,hybrid_model_and_security_rules,[],[],62.43750000021464,other_legitimate,True
external-v2-0004,legitimate,legitimate,0.00024167710216715932,0.0002,hybrid_model_and_security_rules,[],[],103.51070000024265,other_legitimate,True
external-v2-0005,legitimate,legitimate,0.000263337220530957,0.0003,hybrid_model_and_security_rules,[],[],137.34849999991638,other_legitimate,True
external-v2-0006,legitimate,legitimate,0.0014004228869453073,0.0014,hybrid_model_and_security_rules,[],[],46.19110000021465,other_legitimate,True
external-v2-0007,legitimate,legitimate,0.00022104282106738538,0.0002,hybrid_model_and_security_rules,[],[],62.72850000004837,other_legitimate,True
external-v2-0008,legitimate,legitimate,0.0004900458152405918,0.0005,hybrid_model_and_security_rules,[],[],133.4697000002052,other_legitimate,True
external-v2-0009,legitimate,legitimate,0.7058653831481934,0.7059,hybrid_model_and_security_rules,[],[],133.4180999997443,other_legitimate,True
external-v2-0010,legitimate,legitimate,0.004675132222473621,0.0047,hybrid_model_and_security_rules,[],[],37.10629999977755,other_legitimate,True
external-v2-0011,legitimate,legitimate,0.0002604810579214245,0.0003,hybrid_model_and_security_rules,[],[],41.093499999988126,other_legitimate,True
external-v2-0012,legitimate,legitimate,0.0002987287298310548,0.0003,hybrid_model_and_security_rules,[],[],95.51280000005136,other_legitimate,True
external-v2-0013,legitimate,legitimate,0.0005498207756318152,0.0005,hybrid_model_and_security_rules,[],[],136.50049999978364,other_legitimate,True
external-v2-0014,legitimate,legitimate,0.00016879175382200629,0.0002,hybrid_model_and_security_rules,[],[],156.32540000024164,other_legitimate,True
external-v2-0015,legitimate,legitimate,0.0006176031311042607,0.0006,hybrid_model_and_security_rules,[],[],138.57800000005227,other_legitimate,True
external-v2-0016,legitimate,legitimate,0.00018176890444010496,0.0002,hybrid_model_and_security_rules,[],[],149.7575000003053,other_legitimate,True
external-v2-0017,legitimate,legitimate,0.0002908890601247549,0.0003,hybrid_model_and_security_rules,[],[],138.54639999999563,other_legitimate,True
external-v2-0018,legitimate,legitimate,0.00020976024097763002,0.0002,hybrid_model_and_security_rules,[],[],147.39629999985482,other_legitimate,True
external-v2-0019,legitimate,legitimate,0.0005040483083575964,0.0005,hybrid_model_and_security_rules,[],[],143.42100000021674,other_legitimate,True
external-v2-0020,legitimate,legitimate,0.00024429732002317905,0.0002,hybrid_model_and_security_rules,[],[],137.1737999998004,other_legitimate,True
external-v2-0021,legitimate,legitimate,0.0017397567862644792,0.0017,hybrid_model_and_security_rules,[],[],36.03019999991375,other_legitimate,True
external-v2-0022,legitimate,legitimate,0.00207989732734859,0.0021,hybrid_model_and_security_rules,[],[],67.82039999961853,other_legitimate,True
external-v2-0023,legitimate,legitimate,0.0003415891551412642,0.0003,hybrid_model_and_security_rules,[],[],111.5407000002051,other_legitimate,True
external-v2-0024,legitimate,legitimate,0.00456576282158494,0.0046,hybrid_model_and_security_rules,[],[],39.542199999687,other_legitimate,True
external-v2-0025,legitimate,legitimate,0.011683699674904346,0.0117,hybrid_model_and_security_rules,[],[],19.919300000310614,other_legitimate,True
external-v2-0026,legitimate,legitimate,0.0005623597535304725,0.0006,hybrid_model_and_security_rules,[],[],134.76660000014817,other_legitimate,True
external-v2-0027,legitimate,legitimate,0.0002456546062603593,0.0002,hybrid_model_and_security_rules,[],[],136.25630000024103,other_legitimate,True
external-v2-0028,legitimate,legitimate,0.00027147537912242115,0.0003,hybrid_model_and_security_rules,[],[],145.47670000001744,other_legitimate,True
external-v2-0029,legitimate,legitimate,0.0020810875575989485,0.0021,hybrid_model_and_security_rules,[],[],95.00550000029762,other_legitimate,True
external-v2-0030,legitimate,legitimate,0.000225583411520347,0.0002,hybrid_model_and_security_rules,[],[],134.4997000001058,other_legitimate,True
external-v2-0031,legitimate,legitimate,0.00021311704767867923,0.0002,hybrid_model_and_security_rules,[],[],108.67729999972653,other_legitimate,True
external-v2-0032,legitimate,legitimate,0.00023228074132930487,0.0002,hybrid_model_and_security_rules,[],[],131.36059999987992,other_legitimate,True
